,beta,bookValuePerShare,currentRatio,dividendYield,epsChangePercentTTM,epsChangeYear,epsTTM,grossMarginMRQ,grossMarginTTM,interestCoverage,ltDebtToEquity,marketCap,marketCapFloat,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,pbRatio,pcfRatio,peRatio,pegRatio,prRatio,quickRatio,returnOnAssets,returnOnEquity,returnOnInvestment,revChangeIn,revChangeTTM,revChangeYear,sharesOutstanding,shortIntDayToCover,shortIntToFloat,totalDebtToCapital,totalDebtToEquity,vol10DayAvg,vol1DayAvg,vol3MonthAvg,Sector_Communication Services,Sector_Consumer Discretionary,Sector_Consumer Staples,Sector_Energy,Sector_Financials,Sector_Health Care,Sector_Industrials,Sector_Information Technology,Sector_Materials,Sector_Real Estate,Sector_Utilities
PNR,1.4031200000000001,0.0,1.33453,1.68,0.0,0.0,2.01878,34.36142,35.47249,15.19481,51.95671,7517.326,165.4046,10.34628,11.78037,15.561470000000002,15.269179999999999,3.85563,18.018520000000002,22.44425,0.0,2.5992599999999997,0.80629,8.223410000000001,18.14019,9.98344,0.46479,0.0,0.0,165908770.0,0.0,0.0,34.19178,51.95671,851936.0,851940.0,26448880.0,0,0,0,0,0,0,1,0,0,0,0
PBCT,1.2258799999999999,3.54375,0.0,6.45,0.0,0.0,1.14878,0.0,0.0,0.0,13.1341,4744.76,422.1985,18.15428,24.9317,22.29402,31.16463,0.63078,8.44714,9.723360000000001,0.0,2.40047,0.0,0.8711899999999999,6.683889999999999,0.0,0.0,10.91003,0.0,424777066.0,0.0,0.0,0.0,19.47314,3795342.0,3795340.0,94056910.0,0,0,0,0,1,0,0,0,0,0,0
PEP,0.58494,0.0,0.9732200000000001,2.97,0.0,0.0,4.91025,55.55347,55.32119,12.61682,307.1892,190968.6,1382.654,10.39824,10.22556,14.53747,14.460339999999999,15.29255,20.28128,28.088179999999998,0.0,2.82272,0.7921699999999999,8.40537,51.968379999999996,11.4657,14.86925,3.53831,0.0,1384632842.0,0.0,0.0,78.13428,360.0833,3036012.0,3036010.0,100533390.0,0,0,1,0,0,0,0,0,0,0,0
PKI,1.41415,6.877339999999999,1.31649,0.23,18.435029999999998,97.84979,2.64649,55.110769999999995,50.25387,15.797529999999998,54.76045,13380.84,110.8984,16.904020000000003,9.880189999999999,21.637929999999997,13.59595,4.49654,25.51814,45.218379999999996,2.452851,4.49545,0.9058200000000001,4.51196,10.36552,5.26762,24.42106,6.23206,0.0,111814516.0,0.0,0.0,39.91532,66.43176,768595.0,768590.0,19202650.0,0,0,0,0,0,1,0,0,0,0,0
PRGO,1.20731,0.0,2.04522,1.64,172.8031,568.4818,1.74995,35.65745,35.70162,3.62575,59.82675,7473.618,135.4457,4.97088,4.7339400000000005,9.63005,6.1174599999999995,1.26468,11.80666,31.29232,0.181087,1.47292,1.48884,2.03931,4.12835,2.41337,0.0,9.07606,0.0,136479503.0,0.0,0.0,41.20497,70.08832,1167600.0,1167600.0,17923900.0,0,0,0,0,0,1,0,0,0,0,0
PFE,0.68866,0.13442,1.4187,3.96,20.15012,0.0,2.45713,81.08635,80.42766999999999,0.0,78.53923,213106.3,5554.0830000000005,29.09923,28.20497,29.15855,31.095390000000002,3.3124,11.052660000000001,15.60764,0.774568,4.33169,1.15698,8.30567,22.35299,10.3246,0.0,0.0,0.0,5556879807.0,0.0,0.0,49.62903,98.87621,19455926.0,19455930.0,652129160.0,0,0,0,0,0,1,0,0,0,0,0
PM,0.7951199999999999,0.0,1.12563,5.98,0.0,0.0,4.66657,67.23801,65.82873000000001,17.2963,0.0,121873.3,1554.224,30.356340000000003,26.6813,41.06149,37.08632,0.0,13.941120000000002,16.77035,0.0,4.17961,0.55775,19.67503,0.0,37.42184,0.0,0.0,0.0,1557287371.0,0.0,0.0,151.8761,0.0,3604743.0,3604740.0,102452900.0,0,0,1,0,0,0,0,0,0,0,0
PSX,1.58602,7.4065199999999995,1.2470299999999999,5.77,0.0,0.0,0.0,11.958210000000001,10.26474,0.0,61.129619999999996,27232.4,435.2144,0.0,0.0,0.0,0.0,1.3146200000000001,53.18829,0.0,0.0,0.31142,0.73461,0.0,0.0,0.0,0.0,0.0,0.0,436696660.0,0.0,0.0,38.27668,69.73691,3281376.0,3281380.0,69080610.0,0,0,0,1,0,0,0,0,0,0,0
PNW,0.33054,4.104830000000001,0.76658,4.1,0.0,34.027840000000005,4.21772,0.0,0.0,6.195130000000001,107.8804,8599.353000000001,112.3,21.34909,14.343739999999999,28.17091,20.78325,1.56647,7.34753,18.11405,0.0,2.4906200000000003,0.5422899999999999,2.64321,8.8738,2.9277900000000003,40.4363,0.0,0.0,112556967.0,0.0,0.0,52.55225,113.1978,1108606.0,1108610.0,23501100.0,0,0,0,0,0,0,0,0,0,0,1
PXD,1.8328099999999998,4.9019,0.75442,2.03,0.0,0.0,2.54304,31.113059999999997,38.10686,0.0,17.495739999999998,17842.04,162.7188,0.0,5.18419,0.0,9.08758,1.51976,8.28706,42.708729999999996,0.0,2.17639,0.6471,2.36032,3.57385,2.66433,0.0,0.0,0.0,164276170.0,0.0,0.0,15.73961,18.67973,1566441.0,1566440.0,42555380.0,0,0,0,1,0,0,0,0,0,0,0
