Sector,index,pegRatio,pbRatio,pcfRatio,peRatio,prRatio,quickRatio,ltDebtToEquity,totalDebtToEquity,interestCoverage,grossMarginTTM,grossMarginMRQ,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,returnOnAssets,returnOnEquity,returnOnInvestment,beta,Rating,bookValuePerShare,currentRatio,dividendPayAmount,epsChangePercentTTM,epsChangeYear,epsTTM,revChangeIn,revChangeTTM,high52,low52,marketCap,marketCapFloat,revChangeYear,sharesOutstanding,shortIntDayToCover,shortIntToFloat,symbol,totalDebtToCapital,vol10DayAvg,vol1DayAvg,vol3MonthAvg,Last,Change %,Change,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees
Health Technology,ZSAN,0,1.07583,0,0,0,0,12.43393,20.59409,0,0,0,0,0,0,0,0,0,0,3.90304,Buy,0,3.35274,0,64.59097,79.83366,0,0,0,1.96,0.3275,59.43316,101.7003,0,79685658,0,0,ZSAN,17.0772,2822978,2822980,87961060,0.8051,38.26206423,0.2228,79848749,55216495,,-0.9555,56
Health Technology,HSTO,0,1.3335,0,0,5.66376,4.12548,6.08462,6.71592,0,43.14191,34.34343,0,0,0,0,0,0,0,1.17974,Sell,0,4.3737,0,24.46749,72.77585,0,358.3333,0,7.5,0.749,11.93355,10.20995,0,15030757,0,0,HSTO,7.13063,2883957,2883960,14722530,0.851,7.04402516,0.056,3196760,14401303,,-3.6543,6
Health Technology,NSPR,0,1.40656,0,0,4.86829,4.65084,0,0,0,21.91617,30.40816,0,0,0,0,0,0,0,2.24499,Buy,0,5.19112,0,86.55163,94.90301,0,213.099,0,1.64,0.282,16.26009,32.50861,0,36954755,0,0,NSPR,0,7853611,7853610,47845190,0.5285,20.11363636,0.0885,49357812,19530612,,-1.2622,48
Health Technology,SXTC,0,1.44403,0,0,4.70757,1.51573,0.38835,71.52026,0,52.37425,44.38915,0,0,0,0,0,0,0,0,Buy,0,1.60109,0,0,0,0,0,0,1.48,0.2222,24.30175,53.55758,0,62057584,0,0,SXTC,41.69785,4007868,4007870,65050550,0.475,21.29724208,0.0834,17004196,29477360,,,97
Health Technology,CLSN,0,1.55637,0,0,60.10034,0,24.7979,27.02998,0,0,0,0,0,0,0,0,0,0,2.28822,Buy,0,3.66859,0,0,6.40772,0,0,0,6.5,0.4305,30.05017,36.95085,0,37417716,0,0,CLSN,21.27843,2576091,2576090,36113530,0.8141,1.36969244,0.011,6011499,30461750,,-0.7448,29
Health Technology,TNXP,0,1.60168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43491,Buy,0,14.16583,0,98.208,99.8343,0,0,0,2.46,0.3902,111.9583,156.507,0,191648251,0,0,TNXP,0,21862661,21862660,231331630,0.8206,14.76923077,0.1056,50755650,157266349,,-3.5529,16
Health Technology,AZRX,0,1.84809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81828,Buy,0,4.3949,0,3.18297,0,0,0,0,1.9383,0.3709,27.37089,27.03882,0,30412100,0,0,AZRX,0,1373118,1373120,7321380,0.85,-5.55555556,-0.05,1968453,25850285,,-0.883,10
Health Technology,ADMP,0,1.85127,0,0,2.75175,1.16228,5.19992,19.29725,0,12.01414,15.21145,0,0,0,0,0,0,0,1.64103,Buy,0,1.32074,0,33.25999,20.85712,0,9.52974,0,1.51,0.27,50.71561,92.9053,0,93657628,0,0,ADMP,16.17577,3637920,3637920,99478020,0.6152,13.61034164,0.0737,15320655,57618156,,-0.4974,171
Health Technology,PTN,0,2.03651,0,0,0,7.42885,0,0,0,0,0,0,0,0,0,0,0,0,1.59815,Buy,10.35881,7.88668,0,0,13.67167,0,0,0,0.895,0.355,156.7927,221.1451,0,229901307,0,0,PTN,0,12648130,12648130,65381660,0.7081,3.82697947,0.0261,3895927,162792898,,-0.0929,20
Health Technology,AEZS,0,2.13053,0,0,24.82886,12.7685,0.50172,1.32691,0,6.74847,74.21875,0,0,0,0,0,0,0,1.96281,Buy,0,12.97496,0,70.63543,0,0,88.23529,0,1.54,0.29,32.37684,58.73468,0,62678613,0,0,AEZS,1.30953,4251258,4251260,50508010,0.5168,0.36900369,0.0019,7306908,32392300,,-0.18558862,11
Health Technology,NBY,0,2.1981,0,0,3.13134,5.0706,0,0.74917,0,61.53846,75.29954,0,0,0,0,0,0,0,3.75299,Buy,0,5.332,0,12.20154,0,0,0,14.43662,1.94,0.24,30.53053,31.25056,0,41782584,0,0,NBY,0.7436,1792766,1792770,28689550,0.785,7.43123033,0.0543,2836723,32799341,,-0.4107,28
Health Technology,CPHI,0,2.71711,0,0,1.94414,0.13157,11.9579,63.23369,0,15.30241,1.96612,0,0,0,0,0,0,0,0.33249,Strong Buy,0,0.43566,0,0,0,0,0,0,1.4,0.25,21.35398,21.93809,0,43579557,0,0,CPHI,38.73814,704297,704300,13309780,0.5576,13.79591837,0.0676,2778460,24300208,,-0.4682,242
Health Technology,CFMS,0,3.03588,0,0,0.79129,1.50043,132.0553,132.0553,0,49.43783,47.66454,0,0,0,0,0,0,0,1.47427,Buy,0,1.90046,0,35.09629,35.39961,0,0,0,1.6199,0.5003,56.93571,79.83368,0,85940699,0,0,CFMS,56.90682,5256983,5256980,24349640,0.75,13.20754717,0.0875,8817577,58166625,,-0.3401,271
Health Technology,NAOV,0,3.17797,0,0,25.84772,10.42582,0.85706,1.28558,0,26.12903,66,0,0,0,0,0,0,0,0,Buy,0,10.72527,0,32.48387,46.36626,0,0,24.74849,3.5,0.5351,16.02559,17.83189,0,19307938,0,0,NAOV,1.26927,840993,840990,83679410,0.8796,5.97590361,0.0496,2531810,20088438,,-0.5572,10
Health Technology,BIOL,0,3.18815,0,0,1.79812,1.09434,22.66984,116.136,0,36.76049,34.77596,0.18351,0,0,0,0,0,0,2.07635,Buy,0,1.68185,0,50.53221,14.65462,0,122.5664,0,0.96,0.211,43.94966,83.15099,0,93509919,0,0,BIOL,53.73284,44116381,44116380,204717760,0.515,9.57446809,0.045,25026996,48157599,,-0.6546,157
Health Technology,AVGR,0,3.48403,0,0,5.86181,1.50318,6.30275,86.77875,0,29.84519,33.75326,0,0,0,0,0,0,0,1.80976,Buy,0,1.72398,0,78.32142,88.6797,0,57.02592,0,1.3203,0.2139,50.35879,81.72284,0,84922079,0,0,AVGR,46.46072,46278467,46278470,224479980,0.6667,12.42833052,0.0737,48844987,56617564,,-1.3085,81
Health Technology,MBRX,0,3.62935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08938,Buy,0,4.43572,0,7.74654,39.42086,0,0,0,1.97,0.323,53.10113,55.4917,0,62464564,0,0,MBRX,0,2488945,2488940,37044060,0.89,4.69356546,0.0399,2003970,55593494,,-0.3325,16
Health Technology,NDRA,0,6.00081,0,0,0,3.18619,10.10741,10.10741,0,0,0,0,0,0,0,0,0,0,1.5756,Buy,27.72768,3.41728,0,0,66.716,0,0,0,2.25,0.599,26.91306,31.7975,0,33641324,0,0,NDRA,9.17959,759182,759180,7639200,0.89,11.25,0.09,1393341,29940757,,-1.8304,15
Health Technology,ISR,0,7.25489,0,0,4.80016,2.69711,0,0,0,52.66181,52.2651,0,0,0,0,0,0,0,1.73227,Buy,0,3.11827,0,25.53577,14.4856,0,4.60728,20.85038,1.06,0.352,46.79679,86.10759,0,87226074,0,0,ISR,0,2300290,2300290,28959400,0.5305,-1.11835974,-0.006,39780284,46273446,,-0.0493,53
Health Technology,ONTX,0,7.57683,0,0,454.6645,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9025,Buy,0,2.69117,0,92.97082,95.38856,0,17.85714,0,1.56,0.1901,92.75156,183.7688,0,184948267,0,0,ONTX,0,42647345,42647350,335056940,0.83,65.50348953,0.3285,264762391,153506840,,-0.1616,19
Health Technology,OGEN,0,12.86411,0,0,0,0,0,4.89764,0,0,0,0,0,0,0,0,0,0,0.4356,Buy,0,9.55053,0,1.1013,9.4013,0,0,0,2.09,0.36,47.70963,85.39326,0,91766928,0,0,OGEN,4.66897,17655583,17655580,156587510,0.58,11.55991537,0.0601,40253380,43612578,,-0.5021,7
Industrial Services,BORR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Buy,0,0,0,0,0,0,0,0,9.12,0.2426,0,0,0,220318704,0,0,BORR,0,4294426,0,0,0.8995,11.04938272,0.0895,6928214,196863928,,-2.68221362,694
Industrial Services,SDPI,0,3.24723,66.04216,0,1.15785,0.45853,41.23527,142.5584,0,52.16614,43.73546,0,0,0,0,0,0,0,1.06219,Buy,0,0.60436,0,0,0,0,0,0,1.05,0.2005,15.36537,10.4064,0,25617486,0,0,SDPI,58.77281,413554,413550,13642940,0.71,18.37279093,0.1102,993600,18188425,,-0.1038,63
Industrial Services,VTNR,0,3.40985,0,0,0.25104,1.25436,28.30679,44.49033,0,18.15343,13.06395,0,0,0,0,0,0,0,2.50314,Buy,0,1.4076,0,0,0,0,74.90129,0,1.95,0.4005,34.53057,31.69237,0,45554841,0,0,VTNR,18.68701,606690,606690,13714630,0.8125,7.18997361,0.0545,1142182,37013275,,-0.5568,225
Miscellaneous,SHIP,0.005425,0.40252,62.36497,0.5483,0.49856,0,21.45278,206.659,0.70619,37.2115,47.74312,18.27897,0,45.23943,13.29924,0,0,0,1.02504,Buy,0,0.21122,0,101.0659,0,0.92905,117.3302,0,8.4928,0.39,34.79965,61.46558,0,68314985,0,0,SHIP,67.39048,7108755,7108750,140077540,0.565,10.91480173,0.0556,12579107,38597975,,-3.6266,38
Non-Energy Minerals,GSV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Buy,0,0,0,0,0,0,0,0,1.14,0.2713,0,0,0,315163600,0,0,GSV,0,758836,0,0,0.7687,-0.16883117,-0.0013,426203,242266567,,-0.02178551,17
Non-Energy Minerals,RETO,0,0.49478,0,0,1.15038,0.82711,18.88385,44.39746,0,24.23896,8.2047,0,0,0,0,0,0,0,0,Buy,24.49418,0.93691,0,0,0,0,0,0,1.92,0.3,16.31285,10.79533,0,24135000,0,0,RETO,29.82634,494698,494700,19476680,0.767,13.4783252,0.0911,2957222,18511545,,-0.6675,139
Non-Energy Minerals,AAU,0,1.055,0,0,0,0,4.12742,4.31169,0,0,0,0,0,0,0,0,0,0,0.99775,Sell,1.2564,9.47715,0,9.53916,81.30081,0,0,0,1.24,0.2121,58.49584,114.9528,0,120548611,0,0,AAU,4.13346,3298910,3298910,25780310,0.5063,3.32653061,0.0163,2587218,61033959,,-0.02103687,
